"appid","pid","product_code","product_name_ro","pid_category","size_length","size_width","size_thickness","size_diameter","size_height","size_alloy","size_type","um1","um2","um1_to_um2","product_name_en","um_base","is_active","additional_info","cu_debitare","aliaj","densitate","size_roll_weight","product_name_bg"
"295184","2631","48000130000003002040","BARA BRONZ D13X3000 MM CUSN7ZN4PB7-C-GC","{7}","3000",,,"13",,"CUSN7ZN4PB7-C-GC","","KG","ML","1.180700","BRONZE ROUND BARS D13X3000 MM CUSN7ZN4PB7-C-GC","KG","y","БРОНЗОВИ КРЪГЛИ ПРЪТИ D13X3000 MM CUSN7ZN4PB7-C-GC","y","",,,"БРОНЗОВИ КРЪГЛИ ПРЪТИ D13X3000 MM CUSN7ZN4PB7-C-GC"
"292602","49","12010300100020001540","TABLA ALUMINIU 1050 H24 3.0X1000X2000 MM","{19}","2000","1000","3.00",,,"EN AW 1050 H24","","KG","БРОЙ","16.200000","AL. SHEETS 1050 H24 3,0X1000X2000 MM","KG","y","АЛ. ЛАМАРИНИ 1050 H24 3,0X1000X2000 MM","n","",,,"АЛ. ЛАМАРИНИ 1050 H24 3,0X1000X2000 MM"
"292583","30","12010100125025001540","TABLA ALUMINIU 1050 H24 1x1250x2500 MM","{19}","2500","1250","1.00",,,"EN AW 1050 H24","","KG","БРОЙ","8.437500","AL. SHEETS 1050 H24 1X1250X2500 MM","KG","y","АЛ. ЛАМАРИНИ 1050 H24 1X1250X2500 MM","n","",,,"АЛ. ЛАМАРИНИ 1050 H24 1X1250X2500 MM"
"293372","819","12950400100020001300","TABLA AL STRIATA 5754 H114 4x1000x2000 MM","{22}","2000","1000","4.00",,,"EN AW 5754 H114","","KG","БРОЙ","23.600000","AL. TREAD SHEETS QUINTETT 5754 H114 4X1000X2000 MM","KG","y","АЛ. РИФЕЛОВАНИ ЛАМАРИНИ QUINTETT 5754 H114 4X1000X2000 MM","n","",,,"АЛ. РИФЕЛОВАНИ ЛАМАРИНИ QUINTETT 5754 H114 4X1000X2000 MM"
"293526","973","24040020020600061500","TEAVA RECTANG. ALU 40x20x2x6000 MM 6060  T6","{32}","6000","40","2.00",,"20","EN AW 6060 T6","","KG","M","0.604800","ALU RECT. TUBES 40X20X2X6000 MM 500-3299 6060 T6","KG","y","АЛ. ПРАВОЪГЪЛНИ ТРЪБИ 40X20X2X6000 MM 500-3299 6060 T6","n","",,,"АЛ. ПРАВОЪГЪЛНИ ТРЪБИ 40X20X2X6000 MM 500-3299 6060 T6"
"292591","38","12010150150030001540","TABLA  ALUMINIU 1050 H24  1.5x1500x3000 MM","{19}","3000","1500","1.50",,,"EN AW 1050 H24","","KG","БРОЙ","18.225000","AL. SHEETS 1050 H24 1.5X1500X3000 MM","KG","y","АЛ. ЛАМАРИНИ 1050 H24 1.5X1500X3000 MM","n","",,,"АЛ. ЛАМАРИНИ 1050 H24 1.5X1500X3000 MM"
"293551","998","24080020020600061500","TEAVA RECTANG. ALU 80x20x2x6000 MM 6060  T6","{32}","6000","80","2.00",,"20","EN AW 6060 T6","","KG","M","1.036800","ALU RECT. TUBES 80X20X2X6000 MM 6060 T6","KG","y","АЛ. ПРАВОЪГЪЛНИ ТРЪБИ 80X20X2X6000 MM 6060 T6","n","",,,"АЛ. ПРАВОЪГЪЛНИ ТРЪБИ 80X20X2X6000 MM 6060 T6"
"293198","645","1260820252F152030200","TABLA  ALUMINIU 6082 T651  25 MM","{27}",,,"25.00",,,"EN AW 6082 T651","","KG","БРОЙ","1.000000","ALU PLATES 6082 T651 25X1520X3020 MM","KG","y","АЛ. ПЛОЧИ 6082 T651 25 MM","y","6082",,,"АЛ. ПЛОЧИ 6082 T651 25 MM"
"292707","154","12060600100020006360","TABLA ALUMINIU 6082 6X1000X2000 MM","{19}","2000","1000","6.00",,,"EN AW 6082 T6","","KG","БРОЙ","32.400000","AL SHEETS 6082  6X1000X2000 MM","KG","y","АЛ. ЛАМАРИНИ 6082  6X1000X2000 MM","n","",,,"АЛ. ЛАМАРИНИ 6082  6X1000X2000 MM"
"292671","118","12050400125025001300","TABLA ALUMINIU 5754  H111 4.0x1250x2500 MM","{19}","2500","1250","4.00",,,"EN AW 5754 H111","","KG","БРОЙ","33.250000","AL. SHEETS 5754 H111 4X1250X2500 MM","KG","y","АЛ. ЛАМАРИНИ 5754 H111 4X1250X2500 MM ","n","",,,"АЛ. ЛАМАРИНИ 5754 H111 4X1250X2500 MM "
