product_code,product_name_ro,pid_category,size_length,size_width,size_thickness,size_diameter,size_height,size_alloy,size_type,um1,um2,um1_to_um2,product_name_en,um_base,is_active,additional_info,cu_debitare,aliaj,densitate,size_roll_weight
1250830352F152030200,TABLA ALUMINIU 5083 H111  35 MM,{27},,,35,,,EN AW 5083 H111,,KG,BUC,1,ALU PLATES 5083 H111 35X1520X3020 MM ,KG,y,,y,5083,,
120PP50830701520302G,TABLA ALUMINIU DE PRECIZIE 5083 70 MM,{25},,,70,,,5083,,KG,BUC,1,PREC. MACH. CAST AL PLATE 5083 70 MM,KG,y,,y,PP5083,,
12010200150030001540,TABLA ALUMINIU 1050 H24  2X1500X3000 MM,{19},3000,1500,2,,,EN AW 1050 H24,,KG,BUC,24.3,AL. SHEETS 1050 H24 2.0X1500X3000 MM,KG,y,,n,,,
120PP50830081540304G,TABLA ALUMINIU DE PRECIZIE 5083 8 MM,{25},,,8,,,5083,,KG,BUC,1,PREC. MACH. CAST AL PLATE 5083 8 MM,KG,y,,y,PP5083,,
12010100100020001540,TABLA ALUMINIU 1050 H24 1x1000x2000 MM,{19},2000,1000,1,,,EN AW 1050 H24,,KG,BUC,5.4,"AL. SHEETS 1050 H24 1,0X1000X2000 MM",KG,y,,n,,,
48000130000003002040,BARA BRONZ D13X3000 MM CUSN7ZN4PB7-C-GC,{7},3000,,,13,,CUSN7ZN4PB7-C-GC,,KG,ML,1.1807,BRONZE ROUND BARS D13X3000 MM CUSN7ZN4PB7-C-GC,KG,y,,y,,,
12010300100020001540,TABLA ALUMINIU 1050 H24 3.0X1000X2000 MM,{19},2000,1000,3,,,EN AW 1050 H24,,KG,BUC,16.2,"AL. SHEETS 1050 H24 3,0X1000X2000 MM",KG,y,,n,,,
12010100125025001540,TABLA ALUMINIU 1050 H24 1x1250x2500 MM,{19},2500,1250,1,,,EN AW 1050 H24,,KG,BUC,8.4375,AL. SHEETS 1050 H24 1X1250X2500 MM,KG,y,,n,,,
12950400100020001300,TABLA AL STRIATA 5754 H114 4x1000x2000 MM,{22},2000,1000,4,,,EN AW 5754 H114,,KG,BUC,23.6,AL. TREAD SHEETS QUINTETT 5754 H114 4X1000X2000 MM,KG,y,,n,,,
24040020020600061500,TEAVA RECTANG. ALU 40x20x2x6000 MM 6060  T6,{32},6000,40,2,,20,EN AW 6060 T6,,KG,ML,0.6048,ALU RECT. TUBES 40X20X2X6000 MM 500-3299 6060 T6,KG,y,,n,,,
12010150150030001540,TABLA  ALUMINIU 1050 H24  1.5x1500x3000 MM,{19},3000,1500,1.5,,,EN AW 1050 H24,,KG,BUC,18.225,AL. SHEETS 1050 H24 1.5X1500X3000 MM,KG,y,,n,,,
24080020020600061500,TEAVA RECTANG. ALU 80x20x2x6000 MM 6060  T6,{32},6000,80,2,,20,EN AW 6060 T6,,KG,ML,1.0368,ALU RECT. TUBES 80X20X2X6000 MM 6060 T6,KG,y,,n,,,
1260820252F152030200,TABLA  ALUMINIU 6082 T651  25 MM,{27},,,25,,,EN AW 6082 T651,,KG,BUC,1,ALU PLATES 6082 T651 25X1520X3020 MM,KG,y,,y,6082,,
12060600100020006360,TABLA ALUMINIU 6082 6X1000X2000 MM,{19},2000,1000,6,,,EN AW 6082 T6,,KG,BUC,32.4,AL SHEETS 6082  6X1000X2000 ,KG,y,,n,,,
12050400125025001300,TABLA ALUMINIU 5754  H111 4.0x1250x2500 MM,{19},2500,1250,4,,,EN AW 5754 H111,,KG,BUC,33.25,AL. SHEETS 5754 H111 4X1250X2500 MM ,KG,y,,n,,,
47000200050040001140,BARA LATA CUPRU CU-ETP 1/2 T 20X5X4000 MM R=1,{12},4000,20,5,,,CU-ETP R250,,KG,ML,0.894,COPPER FLAT BARS 20X5X4000 MM CU-ETP R250,KG,y,,n,,,
47000200100040000140,BARA LATA CUPRU CU-ETP 1/2 T 20X10X4000 MM R=1,{12},4000,20,10,,,CU-ETP R250,,KG,ML,1.788,COPPER FLAT BARS 20X10X4000 MM CU-ETP R250,KG,y,,n,,,
47000600100040001540,BARA LATA CUPRU CU-ETP 1/2 T 60X10X4000 MM R=1,{12},4000,60,10,,,CU-ETP R250,,KG,ML,5.364,COPPER FLAT BARS 60X10X4000MM CU-ETP R250,KG,y,,n,,,
12707501200152030200,TABLA  ALUMINIU 7075 T651 12 MM,{27},,,12,,,EN AW 7075 T651,,KG,BUC,1,ALU PLATES  7075 T651 12x1520x3020 MM,KG,y,,y,7075,,
12910150100020001560,TABLA  AL STRIATA 1050 H244 1.5X1000X2000MM,{22},2000,1000,1.5,,,EN AW 1050 H244,,KG,BUC,9.5,AL. TREAD SHEETS QUINTETT 1050 H244 1.5X1000X2000 MM,KG,y,,n,,,
23030030020600061500,PROFIL ALU U 30X30X30X2X6000 MM 6060  T6,{31},6000,30,2,,30,EN AW 6060 T6,,KG,ML,0.4644,ALU U PROFILES 30X30X30X2X6000 MM 6060 T6,KG,y,,n,,,
12050100100020001320,TABLA ALUMINIU 5754  H22  1x1000x2000 MM,{19},2000,1000,1,,,EN AW 5754 H22,,KG,BUC,5.32,"AL. SHEETS 5754 H22 1,0X1000X2000 MM",KG,y,,n,,,
1260820102F152030200,TABLA  ALUMINIU 6082 T651 10 MM,{27},,,10,,,EN AW 6082 T651,,KG,BUC,1,ALU PLATES 6082 10X1520X3020 MM BOTH SIDE PROT.FOIL,KG,y,,y,6082,,
12910200100020001560,TABLA AL STRIATA 1050 H244 2x1000x2000 MM,{22},2000,1000,2,,,EN AW 1050 H244,,KG,BUC,12.35,AL. TREAD SHEETS QUINTETT 1050 H244 2X1000X2000 MM,KG,y,,n,,,
24020020020600061500,TEAVA PATRATA ALU 20x20x2x6000 MM 6060  T6,{33},6000,20,2,,,EN AW 6060 T6,,KG,ML,0.3888,ALU SQUARE TUBES 20X20X2X6000 MM 500-3294 6060 T6,KG,y,,n,,,
12010200200040001540,TABLA ALUMINIU 1050 H24  2x2000x4000 MM,{19},4000,2000,2,,,EN AW 1050 H24,,KG,BUC,43.2,AL SHEETS 1050 H24 2X2000X4000 MM,KG,y,,n,,,
12608201200102020200,TABLA  ALUMINIU 6082 T651  12 MM,{27},,,12,,,EN AW 6082 T651,,KG,BUC,1,ALU PLATES 6082 T65 12X1520X3020 MM 1 SIDE PROT. FOIL,KG,y,,y,6082,,
12930150100020001340,TABLA AL STRIATA DIAMOND 3003 H224 1.5/2x1000x2000 MM,{23},2000,1000,1.5,,,EN AW 3003 H224,,KG,BUC,8.8,AL. TREAD SHEETS DIAMOND 3003 H224 1.5/2X500X1000 MM,KG,y,,n,,,
12050500125025001300,TABLA ALUMINIU 5754 H111 5X1250X2500MM,{19},2500,1250,5,,,EN AW 5754 H111,,KG,BUC,41.5625,"AL. SHEETS 5754 H111 5,0X1250X2500 MM",KG,y,,n,,,
LPH00832,HYDRAYLIC HOSE WITH FITTING LPH00832,{0},,,,,,,,BUC,,0,,BUC,n,HYDRAYLIC HOSE WITH FITTING LPH00832,n,,,
11010601000500101540,BANDA  AL 1050 H24 0.6X1000 MM  ~ 105 KG - ISORULO,{18},,1000,0.6,,,EN AW 1050 H24,,KG,M2,1.63,"AL. COILS 1050 H24 0,6X1000 MM 100KG",KG,y,,n,,,100
PALET4,PALET 2000X4000 MM,{1},,,,,,,Stocuri,BUC,,,,BUC,y,,n,,,
PALET6,PALET 1500X3900 MM,{1},,,,,,,Stocuri,BUC,,,,BUC,y,,n,,,
PALETIELEMENT,ELEMENT DE PALETI,{1},,,,,,,Stocuri,BUC,,,,BUC,y,,n,,,
PALETEURO,EURO PALET,{1},,,,,,,Stocuri,BUC,,,,BUC,y,,n,,,
LPH00834,HYDRAYLIC HOSE WITH FITTING LPH00834,{0},,,,,,,,BUC,,0,,BUC,n,HYDRAYLIC HOSE WITH FITTING LPH00834,n,,,
42102500700200000440,TABLA CUPRU CU-DHP R240 2.5X700X2000 MM,{0},,,,,,,,KG,,0,COPPER SHEETS CU-DHP R240 2.5X700X2000 MM,KG,n,TABLA CUPRU CU-DHP R240 2.5X700X2000 MM,n,,,
48700670017003002040,BARA LATA BRONZ 67X17X3000 MM CUSN7ZN4PB7-C-GC,{0},,,,,,,,KG,,0,BRONZE FLAT BARS 67X12X3000 MM   CUSN7ZN4PB7-C-GC,KG,n,BARA LATA BRONZ 67X17X3000 MM CUSN7ZN4PB7-C-GC,n,,,
48700820038030002040,BARA LATA BRONZ 82X38X3000 MM CUSN7ZN4PB7-C-GC,{0},,,,,,,,KG,,0,BRONZE FLAT BARS 82X38X3000 MM  CUSN7ZN4PB7-C,KG,n,BARA LATA BRONZ 82X38X3000 MM CUSN7ZN4PB7-C-GC,n,,,
21025025020600061500,CORNIER ALU  25X25X2X6000 MM 6060  T6,{29},6000,25,2,,25,EN AW 6060 T6,,KG,ML,0.2592,ALU L PROFILES 25X25X2X6000 MM 500-3291 6060 T6,KG,y,,n,,,
12050600150030001300,TABLA ALUMINIU 5754 H111 6X1500X3000 MM,{19},3000,1500,6,,,EN AW 5754 H111,,KG,BUC,71.82,AL SHEETS 5754 H111 6X1500X3000 MM,KG,y,,n,,,
47001200100040001540,BARA LATA CUPRU CU-ETP 1/2 T 120X10X4000 MM R=1,{12},4000,120,10,,,CU-ETP R250,,KG,ML,10.728,COPPER FLAT BARS 120X10X4000 MM CU-ETP R250,KG,y,,n,,,
12010200100020001540,TABLA ALUMINIU 1050 H24 2X1000X2000 MM,{19},2000,1000,2,,,EN AW 1050 H24,,KG,BUC,10.8,AL. SHEETS 1050 H24 2X1000X2000 MM,KG,y,,n,,,
120PP50830151540304G,TABLA ALUMINIU DE PRECIZIE 5083 15 MM,{25},,,15,,,5083,,KG,BUC,1,PREC. MACH. CAST AL PLATE 5083 15 MM,KG,y,,y,PP5083,,
1270750202F152030200,TABLA  ALUMINIU 7075 T651 20 MM,{27},,,20,,,EN AW 7075 T651,,KG,BUC,1,ALU PLATES  7075 T651 20X1520X3020 MM,KG,y,,y,7075,,
24080040040600061500,TEAVA RECTANG. ALU 80x40x4x6000 MM 6060  T6,{32},6000,80,4,,40,EN AW 6060 T6,,KG,ML,2.4192,ALU RECT. TUBES 80X40X4X6000 MM 6060 T6,KG,y,,n,,,
1250830102F152030200,TABLA ALUMINIU 5083 H111   10 MM,{27},,,10,,,EN AW 5083 H111,,KG,BUC,1,AL. SHEETS 5083 H111 10X1520X3020 MM 2 SIDE PROT. FOIL,KG,y,,y,5083,,
1250830252F152030200,TABLA ALUMINIU 5083 H111  25 MM,{27},,,25,,,EN AW 5083 H111,,KG,BUC,1,ALU PLATES 5083 H111 25X1520X3020 MM ,KG,y,,y,5083,,
1250830502F152030200,TABLA ALUMINIU 5083 H111  50 MM,{27},,,50,,,EN AW 5083 H111,,KG,BUC,1,ALU PLATES 5083 H111 50X1520X3020 MM,KG,y,,y,5083,,
12201701000102020200,TABLA ALUMINIU 2017A T451  10 MM,{27},,,10,,,EN AW 2017A T451,,KG,BUC,1,AL PLATES 2017 T451 10 MM,KG,y,,y,2017,,
1250830202F152030200,TABLA ALUMINIU 5083 H111  20 MM,{27},,,20,,,EN AW 5083 H111,,KG,BUC,1,ALU PLATES 5083 H111 20X15205X3020 MM BOTH SIDE PROT.FOIL,KG,y,,y,5083,,
12050150100020001300,TABLA ALUMINIU 5754  H111 1.5x1000x2000 MM,{19},2000,1000,1.5,,,EN AW 5754 H111,,KG,BUC,7.98,"AL. SHEETS 5754  H111 1,5X1000X2000 MM",KG,y,,n,,,
47000300100040001540,BARA LATA CUPRU CU-ETP 1/2 T 30X10X4000 MM R=1,{12},4000,30,10,,,CU-ETP R250,,KG,ML,2.682,COPPER FLAT BARS 30X10X4000MM CU-ETP R250,KG,y,,n,,,
47000800100040000140,BARA LATA CUPRU CU-ETP 1/2 T 80x10X4000 MM R=1,{12},4000,80,10,,,CU-ETP R250,,KG,ML,7.152,COPPER FLAT BARS 80X10X4000MM CU-ETP R250,KG,y,,n,,,
21030030020600061500,CORNIER ALU 30X30X2X6000  MM 6060  T6,{29},6000,30,2,,30,EN AW 6060 T6,,KG,ML,0.3132,ALU L PROFILES 30X30X2X6000 MM 500-3292 6060 T6,KG,y,,n,,,
12606102500152030200,TABLA ALUMINIU 6061 T651 25 MM,{27},,,25,,,EN AW 6061 T651,,KG,BUC,1,AL. PLATES 6061 T651 25X1520X3020 MM - AMS,KG,y,,y,6061,,
12010150100020001540,TABLA  ALUMINIU 1050 H24 1.5x1000x2000 MM,{19},2000,1000,1.5,,,EN AW 1050 H24,,KG,BUC,8.1,AL. SHEETS 1050 H24 1.5X1000X2000 MM,KG,y,,n,,,
