pid;parent_pid;is_leaf;name_ro;current_name_en;current_name_bg;proposed_name_en;proposed_name_bg
0;;n;NEW ARTICLE;;;NEW ARTICLE;НОВ АРТИКУЛ
1;;n;TRANSPORT;TRANSPORT;;TRANSPORT;Транспорт
6;;n;BRONZ;BRONZ;;BRONZE;Бронз
7;6;y;BARE ROTUNDE BRONZ;BARE ROTUNDE BRONZ;;BRONZE ROUND BARS;Кръгли пръти от бронз
8;68;y;BARE ROTUNDE CUPRU;BARE ROTUNDE CUPRU;;COPPER ROUND BARS;Кръгли пръти от мед
10;68;y;BARE PATRATE CUPRU;BARE PATRATE CUPRU;;COPPER SQUARE BARS;Квадратни пръти от мед
12;68;y;BARE LATE CUPRU;BARE LATE CUPRU;;COPPER FLAT BARS;Плоски пръти от мед
13;53;y;PLACI ALAMA;ALAM PLATES;ALLAMA PLACA;BRASS PLATES;Месингови плочи
15;61;y;PLACI CUPRU;PLACI CUPRU;;COPPER PLATES;Медни плочи
16;;n;ALUMINIU;ALUMINIU;;ALUMINIUM;Алуминий
17;20;y;TABLE AL PERFORATE;TABLE AL PERFORATE;;ALUMINIUM PERFORATED SHEETS;Перфорирани ламарини от алуминий
18;16;y;BENZI ALUMINIU STANDARD;BENZI ALUMINIU STANDARD;ЛЕНТИ ОТ СТАНДАРТЕН АЛУМИНИЙ;ALUMINIUM COILS STANDARD;Ленти от алуминий, стандартни
19;16;y;TABLE LISĂ ALUMINIU;AL TABLE LISS;TABLE LISĂ ALUMINIU;ALUMINIUM PLAIN SHEETS;Гладки ламарини от алуминий
20;16;n;STUCCO, STRIATE, DIAMOND, PERFORATE;STUCCO, STRIATE, DIAMOND, PERFORATE;;STUCCO, TREAD, DIAMOND, PERFORATED;Стуко, рифеловани, диамант, перфорирани
21;20;y;TABLE STUCCO;TABLE STUCCO;;STUCCO SHEETS;Ламарини стуко
22;20;y;TABLE STRIATE;TABLE STRIATE;;TREAD SHEETS;Рифеловани ламарини
23;20;y;TABLE DIAMOND;TABLE DIAMOND;;DIAMOND SHEETS;Ламарини диамант
24;16;n;PLACI ALUMINIU;PLACI ALUMINIU;;ALUMINIUM PLATES;Плочи от алуминий
25;24;y;PLACI DE PRECIZIE;PLACI DE PRECIZIE;;PRECISION PLATES;Прецизни плочи
26;24;y;PLACI TURNATE;PLACI TURNATE;;CAST PLATES;Лети плочи
27;24;y;PLACI LAMINATE;PLACI LAMINATE;;ROLLED PLATES;Валцувани плочи
28;16;n;PROFILE, TEVI ALUMINIU;PROFILE, TEVI ALUMINIU;;ALUMINIUM PROFILES, TUBES;Профили и тръби от алуминий
29;28;y;PROFILE L;PROFILE L;;L PROFILES;Профили L
30;28;y;PROFILE T;PROFILE T;;T PROFILES;Профили T
31;28;y;PROFILE U;PROFILE U;;U PROFILES;Профили U
32;28;y;TEVI RECTANGULARE;TEVI RECTANGULARE;;RECTANGULAR TUBES;Правоъгълни тръби
33;28;y;TEVI PATRATE;TEVI PATRATE;;SQUARE TUBES;Квадратни тръби
34;28;y;TEVI ROTUNDE;TEVI ROTUNDE;;ROUND TUBES;Кръгли тръби
35;16;n;BARE ALUMINIU;BARE ALUMINIU;;ALUMINIUM BARS;Пръти от алуминий
36;35;y;BARE ROTUNDE ALUMINIU;BARE ROTUNDE ALUMINIU;;ALUMINIUM ROUND BARS;Кръгли пръти от алуминий
38;35;y;BARE PATRATE ALUMINIU;BARE PATRATE ALUMINIU;;ALUMINIUM SQUARE BARS;Квадратни пръти от алуминий
39;35;y;BARE LATE ALUMINIU;BARE LATE ALUMINIU;;ALUMINIUM FLAT BARS;Плоски пръти от алуминий
53;;n;ALAMA;ALAMA;;BRASS;Месинг
54;53;y;TABLE ALAMA;TABLE ALAMA;;BRASS SHEETS;Месингови ламарини
55;53;n;BARE ALAMA;BARE ALAMA;;BRASS BARS;Месингови пръти
56;55;y;BARE ROTUNDE ALAMA;BARE ROTUNDE ALAMA;;BRASS ROUND BARS;Кръгли пръти от месинг
58;55;y;BARE HEXAGONALE ALAMA;BARE HEXAGONALE ALAMA;;BRASS HEXAGONAL BARS;Шестостенни пръти от месинг
59;55;y;BARE PATRATE ALAMA;BARE PATRATE ALAMA;;BRASS SQUARE BARS;Квадратни пръти от месинг
60;55;y;BARE LATE ALAMA;BARE LATE ALAMA;;BRASS FLAT BARS;Плоски пръти от месинг
61;;n;CUPRU;CUPRU;;COPPER;Мед
62;61;n;TABLE CUPRU;TABLE CUPRU;;COPPER SHEETS;Медни ламарини
